CIK,RSSD_ID,EntityName,Bank_Name,match_type,match_score
7789,917742,ASSOCIATED BANC-CORP,"Associated Bank, National Association",fuzzy,0.877777777777778
9631,3548567,BANK OF NOVA SCOTIA,The Bank of San Antonio,fuzzy,0.861197110423117
18349,395238,SYNOVUS FINANCIAL CORP,Synovus Bank,exact,1
19617,852218,JPMORGAN CHASE & CO,"JPMorgan Chase Bank, National Association",fuzzy,0.908991228070176
28412,60143,COMERICA INC,Comerica Bank,exact,1
34782,991340,1ST SOURCE CORP,1st Source Bank,exact,1
35527,723112,FIFTH THIRD BANCORP,Fifth Third Bank,exact,1
36029,591852,FIRST FINANCIAL BANKSHARES INC,"First Financial Bank, National Association",fuzzy,0.923076923076923
36146,5349218,TRUSTMARK CORP,Trustar Bank,fuzzy,0.925925925925926
36377,980661,"FIRST HAWAIIAN, INC.",First Hawaiian Bank,exact,1
36966,485559,FIRST HORIZON CORP,First Horizon Bank,exact,1
40729,3284070,Ally Financial Inc.,Ally Bank,exact,1
46195,795968,BANK OF HAWAII CORP,Bank of Hawaii,exact,1
70858,2867056,BANK OF AMERICA CORP /DE/,"Bank of America Oregon, National Association",fuzzy,0.874545454545455
73124,210434,NORTHERN TRUST CORP,The Northern Trust Company,exact,1
90498,663245,SIMMONS FIRST NATIONAL CORP,Simmons First National Bank,exact,1
92230,852320,TRUIST FINANCIAL CORP,Truist Bank,exact,1
93451,978154,STERLING BANCORP,Sterling Bank,exact,1
93751,352745,STATE STREET CORP,State Street Bank and Trust Company,fuzzy,0.857142857142857
102212,137652,UNIVEST FINANCIAL Corp,University Bank,fuzzy,0.9
201461,63069,CITY NATIONAL CORP,City National Bank,exact,1
203596,645625,WESBANCO INC,"Wesbanco Bank, Inc.",fuzzy,0.871794871794872
275119,280044,BAYLAKE CORP,Baylake Bank,exact,1
315709,209858,INTERNATIONAL BANCSHARES CORP,International Bank,exact,1
315849,699534,SOUTHWEST GEORGIA FINANCIAL CORP,Southwest Georgia Bank,exact,1
318300,359324,PEOPLES BANCORP INC,The Peoples Bank,exact,1
350852,509811,COMMUNITY TRUST BANCORP INC /KY/,"Community Trust Bank, Inc.",fuzzy,0.875
351569,764030,Ameris Bancorp,Ameris Bank,exact,1
353191,350750,NORTH VALLEY BANCORP,North Valley Bank,exact,1
353386,210238,SOUTHEASTERN BANKING CORP,Southeastern Bank,exact,1
357264,785062,PACIFIC CAPITAL BANCORP /CA/,"Pacific Capital Bank, National Association",fuzzy,0.876190476190476
700564,238812,FULTON FINANCIAL CORP,The Felton Bank,fuzzy,0.888888888888889
700733,802110,NATIONAL PENN BANCSHARES INC,National Penn Bank,exact,1
700863,682611,SUSQUEHANNA BANCSHARES INC,Susquehanna Bank,exact,1
701347,701062,CENTRAL PACIFIC FINANCIAL CORP,Central Pacific Bank,exact,1
701853,606046,BANCORPSOUTH INC,BancorpSouth Bank,exact,1
702325,1007846,FIRST MIDWEST BANCORP INC,First Midwest Bank,exact,1
702513,152057,Bank of Commerce Holdings,Bank of Commerce,exact,1
702902,472018,HARLEYSVILLE NATIONAL CORP,The Salyersville National Bank,fuzzy,0.926587301587302
703329,217059,FIRST FARMERS & MERCHANTS CORP,First Farmers & Merchants Bank,exact,1
703699,822042,SOUTHERN MICHIGAN BANCORP INC,Southern Michigan Bank & Trust,fuzzy,0.902777777777778
705432,361167,SOUTHSIDE BANCSHARES INC,Southside Bank,exact,1
706465,896427,HENRY COUNTY BANCSHARES INC,The Henry County Bank,exact,1
706863,667029,UNION BANKSHARES INC,"Union Bank, Inc.",fuzzy,0.875
706874,862824,PALMETTO BANCSHARES INC,The Palmetto Bank,exact,1
707604,539939,BRITTON & KOONTZ CAPITAL CORP,"Britton & Koontz Bank, N.A.",fuzzy,0.869047619047619
707605,928618,AMERISERV FINANCIAL INC /PA/,Ameriserv Financial Bank,fuzzy,0.892857142857143
707855,773443,PRINCETON NATIONAL BANCORP INC,The Clinton National Bank,fuzzy,0.890277777777778
707886,638346,UNITED COMMUNITY FINANCIAL CORP,United Community Bank,exact,1
708955,591852,FIRST FINANCIAL BANCORP /OH/,"First Financial Bank, National Association",fuzzy,0.876190476190476
709337,307062,FARMERS NATIONAL BANC CORP /OH/,The Farmers National Bank of Buhl,fuzzy,0.867259918427883
711772,736206,CAMBRIDGE BANCORP,Cambridge Trust Company,exact,1
712534,17147,FIRST MERCHANTS CORP,First Merchants Bank,exact,1
712771,3317932,"ConnectOne Bancorp, Inc.",ConnectOne Bank,fuzzy,0.851851851851852
713095,132219,FARMERS CAPITAL BANK CORP,Farmers National Bank,fuzzy,0.86741452991453
714310,962854,VALLEY NATIONAL BANCORP,Valley National Bank,exact,1
714395,37640,"GERMAN AMERICAN BANCORP, INC.",German American Bancorp,fuzzy,0.884057971014493
714530,617024,NEWBRIDGE BANCORP,NewBridge Bank,exact,1
714562,188757,FIRST FINANCIAL CORP /IN/,First Financial Bank,fuzzy,0.866666666666667
714712,215710,JUNIATA VALLEY FINANCIAL CORP,The Juniata Valley Bank,exact,1
714756,976552,AMCORE FINANCIAL INC,Core Bank,fuzzy,0.888888888888889
714980,63069,CITY NATIONAL BANCSHARES Corp,City National Bank,exact,1
715072,749242,RENASANT CORP,Renasant Bank,exact,1
715579,5210,ACNB CORP,ACNB Bank,exact,1
717538,570558,ARROW FINANCIAL CORP,Arrowhead Bank,fuzzy,0.851851851851852
718413,2376464,COMMUNITY BANCORP /VT,"Community Bank, Coast",fuzzy,0.857096171802054
719220,936426,S&T BANCORP INC,S&T Bank,exact,1
719402,100843,FIRST NATIONAL CORP /VA/,First National Banking Company,fuzzy,0.861111111111111
720002,623445,MAINSOURCE FINANCIAL GROUP,MainSource Bank,exact,1
721994,687009,LAKELAND FINANCIAL CORP,Lakeland Bank,exact,1
723188,47256,"COMMUNITY FINANCIAL SYSTEM, INC.",Community Financial Bank,fuzzy,0.91025641025641
723458,2631172,STATE BANCORP INC,State Bank Financial,exact,1
723594,2997748,FIRST CENTURY BANKSHARES INC,"First Century Bank, National Association",fuzzy,0.916666666666667
726517,147633,MERCHANTS BANCSHARES INC,Merchants Bank,exact,1
737468,58971,WASHINGTON TRUST BANCORP INC,Washington Trust Bank,exact,1
737875,365174,FIRST KEYSTONE CORP,First Keystone Bank,exact,1
739421,163473,CITIZENS FINANCIAL SERVICES INC,Citizens Financial Bank,fuzzy,0.888888888888889
740806,542153,F&M BANK CORP,F&M Bank,exact,1
740942,2797724,TOWER BANCORP INC,Towne Bank,fuzzy,0.866666666666667
741516,958727,AMERICAN NATIONAL BANKSHARES INC.,American National Bank and Trust Company,fuzzy,0.902014652014652
